A̱o,Bimestre,t,Toneladas
2019,1,1,224604.04
2019,2,2,201125.9
2019,3,3,154184.06
2019,4,4,140857.77
2019,5,5,213070.5
2019,6,6,268644.2
2020,1,7,316793.52
2020,2,8,283659.09
2020,3,9,217428.69
2020,4,10,198535.98
2020,5,11,300467.8
2020,6,12,378764.26
2021,1,13,410806.71
2021,2,14,367955.31
2021,3,15,282092.18
2021,4,16,257532.45
2021,5,17,389706.87
2021,6,18,491240.8
2022,1,19,405077.56
2022,2,20,362765.23
2022,3,21,278092.64
2022,4,22,253986.68
2022,5,23,384156.6
2022,6,24,484431.36
2023,1,25,426151.46
2023,2,26,381653.51
2023,3,27,292635.95
2023,4,28,267180.48
2023,5,29,404208.92
2023,6,30,522430.98
